iter	RMSE
0	0.06691153722
1	0.05207455633
2	0.04678084992
3	0.04130738126
4	0.0349232648
5	0.03171274534
6	0.02864241455
7	0.02673979554
8	0.022151967
9	0.02151629263
10	0.01966318201
11	0.01917145403
12	0.01705776496
13	0.01537443477
14	0.01505912889
15	0.01392982042
16	0.01360438041
17	0.01021560961
18	0.008390714645
19	0.007777709533
20	0.007146957238
21	0.00689122531
22	0.006321903015
23	0.006032062007
24	0.005552873237
25	0.00528229583
26	0.004939008626
27	0.004262184907
28	0.003981745496
29	0.003758639965
30	0.00362602447
31	0.003390595998
32	0.003292303139
33	0.003189445848
34	0.002650993329
35	0.002516686754
36	0.002327915451
37	0.002210596312
38	0.002098808364
39	0.001996710967
40	0.001899014786
41	0.00172733762
42	0.001650127701
43	0.001609079509
44	0.001510498473
45	0.001446503485
46	0.001401727358
47	0.001371083568
48	0.001319392378
49	0.001299738711
50	0.001287520695
51	0.001254100863
52	0.001217184933
53	0.001187541461
54	0.001152275113
55	0.001122720925
56	0.001108553773
57	0.001077064657
58	0.001056724053
59	0.001034890922
60	0.001024447947
61	0.001013126076
62	0.001005720491
63	0.000961140448
64	0.0009228583387
65	0.0008809736462
66	0.0008693100761
67	0.000852712226
68	0.0008411372989
69	0.0008255873215
70	0.0008017463043
71	0.0007946224073
72	0.0007842034687
73	0.0007714805704
74	0.0007448138176
75	0.0007179375384
76	0.0007060674509
77	0.0006992842459
78	0.0006821274962
79	0.0006632557655
80	0.0006553891628
81	0.0006507201196
82	0.0006250477419
83	0.0006116513496
84	0.0005953180289
85	0.0005942688227
86	0.0005776680748
87	0.000562551671
88	0.0005541185932
89	0.0005469513004
90	0.0005387341807
91	0.0005294106706
92	0.0005112459553
93	0.0005055227916
94	0.0005028365851
95	0.0004991276553
96	0.0004863539302
97	0.0004812834439
98	0.0004749853229
99	0.0004707410647
100	0.0004684523709
101	0.0004628369231
102	0.0004581344817
103	0.0004553120789
104	0.0004518850247
105	0.0004463751534
106	0.000443291848
107	0.0004363116996
108	0.0004338102035
109	0.0004290190144
110	0.0004272364213
111	0.0004246476458
112	0.0004231075544
113	0.0004175863951
114	0.0004056591323
115	0.0003975522498
116	0.0003873386864
117	0.0003745527235
118	0.0003730566323
119	0.000369185507
120	0.000366703247
121	0.0003643930928
122	0.0003621568907
123	0.0003586650268
124	0.0003540264536
125	0.00034909918
126	0.0003455724705
127	0.000342811695
128	0.0003383952176
129	0.0003280351057
130	0.0003237778882
131	0.0003200456047
132	0.0003183010659
133	0.0003132823169
