emp_id,age,education_level,num_parent,num_child,num_sibling,num_spouse,job_level,department_name,total_working_year,total_working_year_z_manager,total_working_year_z_position,total_working_year_z_job_level,total_working_year_z_department,num_employee_under_manager,year_with_current_manager,num_past_manager,num_employee_under_position,num_employee_under_job_level,num_employee_under_department,salary_z_manager,salary_z_position,salary_z_job_level,percentage_salary_increase_since_hire,year_since_last_salary_adjustment,salary_compare_market_rate,year_in_current_position,num_past_promotion,time_since_last_promotion,avg_time_to_promotion,num_training,num_activity,num_skills,avg_skills_score,num_skill_gap,skill_score_vs_avg_position_score,skill_score_vs_median_position_score,avg_performance_score,performance_score_z_manager,performance_score_z_position,performance_score_z_job_level,performance_score_z_department,total_ot_hours_3_months,total_sick_leave_hours_6_months,total_vacation_leave_hours_6_months,distance_from_home_to_office,execution_date,termination_value
990001,33,2,2,0,0,1,2,Business Development,0.1178082191780822,0.0,0.0,0.0,0.0,1,0.1178082191780822,1,1,2,1,0.0,0.0,-0.7071067811865476,0.0,0.1178082191780822,1.0113,0.1178082191780822,0.0,0.1178082191780822,0.1178082191780822,0.0,0.0,18,3.2777777777777777,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-30,0.0
990002,33,2,1,0,4,0,2,Data Scientist,0.1178082191780822,0.0,0.0,0.0,0.0,1,0.1178082191780822,1,1,2,1,0.0,0.0,0.7071067811865476,0.0,0.1178082191780822,1.0028,0.1178082191780822,0.0,0.1178082191780822,0.1178082191780822,0.0,0.0,19,3.1052631578947367,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016643112499974,2020-06-30,0.0
990001,33,2,2,0,0,1,2,Business Development,0.20273972602739726,0.0,0.0,0.0,0.0,1,0.20273972602739726,1,1,2,1,0.0,0.0,-0.7071067811865476,0.0,0.20273972602739726,1.0113,0.20273972602739726,0.0,0.20273972602739726,0.20273972602739726,0.0,0.0,18,3.2777777777777777,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-31,0.0
990002,33,2,1,0,4,0,2,Data Scientist,0.20273972602739726,0.0,0.0,0.0,0.0,1,0.20273972602739726,1,1,2,1,0.0,0.0,0.7071067811865476,0.0,0.20273972602739726,1.0028,0.20273972602739726,0.0,0.20273972602739726,0.20273972602739726,0.0,0.0,19,3.1052631578947367,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016643112499974,2020-07-31,0.0
990001,33,2,2,0,0,1,2,Business Development,0.2876712328767123,0.0,0.0,0.0,0.0,1,0.2876712328767123,1,1,2,1,0.0,0.0,-0.7071067811865476,0.0,0.2876712328767123,1.0113,0.2876712328767123,0.0,0.2876712328767123,0.2876712328767123,0.0,0.0,18,3.2777777777777777,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-31,0.0
990002,33,2,1,0,4,0,2,Data Scientist,0.2876712328767123,0.0,0.0,0.0,0.0,1,0.2876712328767123,1,1,2,1,0.0,0.0,0.7071067811865476,0.0,0.2876712328767123,1.0028,0.2876712328767123,0.0,0.2876712328767123,0.2876712328767123,0.0,0.0,19,3.1052631578947367,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016643112499974,2020-08-31,0.0
990001,33,2,2,0,0,1,2,Business Development,0.3698630136986301,0.0,0.0,0.0,0.0,1,0.3698630136986301,1,1,2,1,0.0,0.0,-0.7071067811865476,0.0,0.3698630136986301,1.0113,0.3698630136986301,0.0,0.3698630136986301,0.3698630136986301,0.0,0.0,18,3.2777777777777777,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-30,0.0
990002,33,2,1,0,4,0,2,Data Scientist,0.3698630136986301,0.0,0.0,0.0,0.0,1,0.3698630136986301,1,1,2,1,0.0,0.0,0.7071067811865476,0.0,0.3698630136986301,1.0028,0.3698630136986301,0.0,0.3698630136986301,0.3698630136986301,0.0,0.0,19,3.1052631578947367,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016643112499974,2020-09-30,0.0
990001,33,2,2,0,0,1,2,Business Development,0.4547945205479452,0.0,0.0,0.0,0.0,1,0.4547945205479452,1,1,2,1,0.0,0.0,-0.7071067811865476,0.0,0.4547945205479452,1.0113,0.4547945205479452,0.0,0.4547945205479452,0.4547945205479452,0.0,0.0,18,3.2777777777777777,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-31,0.0
990002,33,2,1,0,4,0,2,Data Scientist,0.4547945205479452,0.0,0.0,0.0,0.0,1,0.4547945205479452,1,1,2,1,0.0,0.0,0.7071067811865476,0.0,0.4547945205479452,1.0028,0.4547945205479452,0.0,0.4547945205479452,0.4547945205479452,0.0,0.0,19,3.1052631578947367,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.016643112499974,2020-10-31,0.0
