id,employee_id,event_id
1,990001,1
2,990002,1
3,990003,1
4,990004,1
5,990005,1
6,990006,1
7,990007,1
8,990009,1
9,990010,1
10,990001,2
11,990002,2
12,990003,2
13,990005,2
14,990007,2
15,990008,2
16,990009,2
17,990010,2
18,990011,2
19,990012,2
20,990013,2
21,990014,2
22,990001,3
23,990002,3
24,990003,3
25,990005,3
26,990007,3
27,990008,3
28,990009,3
29,990010,3
30,990011,3
31,990012,3
32,990013,3
33,990014,3
34,990002,4
35,990003,4
36,990005,4
37,990006,4
38,990008,4
39,990009,4
40,990010,4
41,990011,4
42,990012,4
43,990014,4
44,990001,5
45,990002,5
46,990003,5
47,990005,5
48,990006,5
49,990008,5
50,990009,5
51,990010,5
52,990011,5
53,990012,5
54,990013,5
55,990014,5
56,990015,5
57,990016,5
58,990002,6
59,990003,6
60,990005,6
61,990009,6
62,990011,6
63,990012,6
64,990017,6
65,990001,7
66,990002,7
67,990003,7
68,990005,7
69,990008,7
70,990009,7
71,990010,7
72,990011,7
73,990012,7
74,990013,7
75,990014,7
76,990015,7
77,990016,7
78,990017,7
79,990001,8
80,990002,8
81,990003,8
82,990006,8
83,990014,8
84,990008,8
85,990009,8
86,990001,9
87,990002,9
88,990003,9
89,990005,9
90,990006,9
91,990008,9
92,990009,9
93,990010,9
94,990011,9
95,990012,9
96,990013,9
97,990014,9
98,990015,9
99,990016,9
100,990017,9
101,990001,10
102,990008,10
103,990014,10
104,990015,10
105,990016,10
106,990018,10
107,990019,10
108,990020,10
109,990022,10
110,990023,10
111,990024,10
112,990025,10
113,990001,11
114,990015,11
115,990016,11
116,990018,11
117,990019,11
118,990021,11
119,990022,11
120,990023,11
121,990003,12
122,990005,12
123,990006,12
124,990009,12
125,990010,12
126,990011,12
127,990012,12
128,990013,12
129,990025,12
130,990001,13
131,990002,13
132,990003,13
133,990005,13
134,990006,13
135,990008,13
136,990009,13
137,990010,13
138,990011,13
139,990012,13
140,990013,13
141,990014,13
142,990015,13
143,990016,13
144,990018,13
145,990019,13
146,990020,13
147,990021,13
148,990022,13
149,990023,13
150,990024,13
151,990025,13
152,990026,13
153,990027,13
154,990001,14
155,990002,14
156,990003,14
157,990009,14
158,990010,14
159,990011,14
160,990020,14
161,990021,14
162,990022,14
163,990023,14
