id,employee_id,salary,created_at
1,990001,75847.5,2020-05-18
2,990002,100279.99999999999,2020-05-18
3,990003,60804.00000000001,2021-02-25
4,990004,45063.0,2021-06-06
5,990005,78512.0,2021-11-09
6,990006,50549.99999999999,2021-11-09
7,990009,40132.0,2021-12-19
8,990010,39456.0,2021-12-19
9,990001,178704.0,2022-01-01
10,990002,197620.0,2022-01-01
11,990003,98620.0,2022-01-01
12,990004,47699.1855,2022-01-05
13,990006,833170.0,2022-02-01
14,990007,45414.00000000001,2022-02-18
15,990008,84362.5,2022-02-18
16,990004,51023.81872935,2022-06-01
17,990014,74145.0,2022-07-01
18,990009,43282.362,2022-10-04
19,990011,39408.0,2022-11-01
20,990012,39732.0,2022-11-01
21,990013,49670.0,2022-12-09
22,990005,118380.0,2023-01-01
23,990015,34849.5,2023-03-09
24,990016,49495.0,2023-03-09
25,990014,177210.0,2023-04-01
26,990009,45792.738996,2023-04-01
27,990017,39772.0,2023-05-01
28,990015,36996.2292,2023-09-01
29,990003,149775.0,2024-01-01
30,990017,42237.864,2024-01-01
31,990018,25235.000000000004,2024-02-28
32,990019,29652.0,2024-02-28
33,990008,141750.0,2024-03-01
34,990006,198320.0,2024-04-01
35,990009,99700.0,2024-04-01
36,990015,49730.0,2024-05-01
37,990009,48938.7001650252,2024-05-01
38,990020,50270.0,2024-06-18
39,990021,45184.5,2024-06-18
40,990022,25212.5,2024-06-18
41,990023,25360.0,2024-06-18
42,990024,24940.0,2024-06-18
43,990025,59178.0,2024-06-18
44,990026,40199.99999999999,2024-06-18
45,990002,271377.0,2024-07-01
46,990027,834275.0,2024-08-01
47,990016,88605.0,2024-10-01
48,990015,52201.581000000006,2024-12-05
49,990019,31268.034,2025-01-01
50,990001,243575.99999999997,2025-02-01
51,990005,147300.0,2025-02-01
52,990011,79872.0,2025-04-01
53,990019,45612.0,2025-05-01
54,990028,44523.0,2025-05-17
55,990016,95401.0035,2025-06-18
56,990022,49540.0,2025-07-01
57,990025,62125.0644,2025-07-01
